scenario,sex,age_group,metric,module,mean_ASD,mean_CTL,beta_CTL_minus_ASD,p_DX,p_SITE,r2,n_ASD,n_CTL,note,p_DX_FDR,DX_FDR_significant
ABIDE2_fd2,female,teen_13_17,PC,1,0.3397666939261287,0.5952471219592558,0.172001028690696,0.12964285654621993,0.46741861340230395,0.5562008552230497,7,10,,0.30249999860784654,False
ABIDE2_fd2,female,teen_13_17,PC,2,0.4339805905863848,0.36773743407546167,-0.1506413511061348,0.006734916289729292,0.10368514874982568,0.5525252539034926,7,10,,0.04714441402810505,True
ABIDE2_fd2,female,teen_13_17,PC,3,0.39142515888804785,0.4799388474894652,0.016656354754045265,0.8894788099658072,0.5863116500787191,0.261986517261776,7,10,,0.9537410771100034,False
ABIDE2_fd2,female,teen_13_17,PC,4,0.3362312846946059,0.35274005496230765,0.030366440936601336,0.4796049420032111,0.016349129732703513,0.6433172937186427,7,10,,0.6714469188044955,False
ABIDE2_fd2,female,teen_13_17,PC,5,0.3509236349861449,0.44194270897641347,0.20095154512447708,0.03562989731032535,0.25615093559787705,0.4258994295240637,7,10,,0.12470464058613873,False
ABIDE2_fd2,female,teen_13_17,PC,6,0.39119038844392534,0.4614102758372887,0.005016345903390221,0.9537410771100034,0.7263026568331059,0.2265012947168905,7,10,,0.9537410771100034,False
ABIDE2_fd2,female,teen_13_17,PC,7,0.5062886891788697,0.5363458379705961,0.04005032611815269,0.454022178046696,0.876775687409358,0.13660486185794152,7,10,,0.6714469188044955,False
ABIDE2_fd2,female,teen_13_17,PC_neg,1,0.0,0.0,0.0,,,,7,10,,1.0,False
ABIDE2_fd2,female,teen_13_17,PC_neg,2,0.0,0.0,0.0,,,,7,10,,1.0,False
ABIDE2_fd2,female,teen_13_17,PC_neg,3,0.0,0.0,0.0,,,,7,10,,1.0,False
ABIDE2_fd2,female,teen_13_17,PC_neg,4,0.0,0.020898273410530556,0.05313348661627919,0.02910759115847941,0.15034935043064354,0.47627160268778246,7,10,,0.08781001004484368,False
ABIDE2_fd2,female,teen_13_17,PC_neg,5,0.0,0.017347307677385595,0.05042277932998597,0.05017714859705353,0.17279820963387243,0.4429358778488466,7,10,,0.08781001004484368,False
ABIDE2_fd2,female,teen_13_17,PC_neg,6,0.0,0.0043657092528015164,0.013364416080004646,0.04982961779870367,0.16317786161673828,0.4470663265306123,7,10,,0.08781001004484368,False
ABIDE2_fd2,female,teen_13_17,PC_neg,7,0.0,0.008174470361158238,0.025023888860688494,0.04982961779870367,0.16317786161673828,0.4470663265306123,7,10,,0.08781001004484368,False
ABIDE2_fd2,female,teen_13_17,PC_pos,1,0.3397666939261287,0.5903262781562284,0.16471113995936715,0.15015768293440818,0.4545867010538267,0.5463862341751511,7,10,,0.35036792684695245,False
ABIDE2_fd2,female,teen_13_17,PC_pos,2,0.4339268324086368,0.36773743407546167,-0.15056455370935198,0.006735714649109758,0.10342687001306829,0.552685615184527,7,10,,0.04715000254376831,True
ABIDE2_fd2,female,teen_13_17,PC_pos,3,0.39142515888804785,0.47987509513936766,0.016566718154441995,0.8900568528408591,0.5866173944998152,0.26182576316164385,7,10,,0.98037703861248,False
ABIDE2_fd2,female,teen_13_17,PC_pos,4,0.33597747457705107,0.3446158042588764,0.011968490334580334,0.7943786478415291,0.03230654453797913,0.5888461006916452,7,10,,0.98037703861248,False
ABIDE2_fd2,female,teen_13_17,PC_pos,5,0.3485463289122372,0.4369660944708186,0.18970038683726426,0.048702476611116395,0.33289609239088924,0.38705585643943297,7,10,,0.1704586681389074,False
ABIDE2_fd2,female,teen_13_17,PC_pos,6,0.39119038844392534,0.46042846125316944,0.002129112420106184,0.98037703861248,0.7106072262341252,0.22970913046674157,7,10,,0.98037703861248,False
ABIDE2_fd2,female,teen_13_17,PC_pos,7,0.5062886891788697,0.534867969637143,0.03606161813044877,0.4973191361375892,0.8866351591071252,0.1289801165757385,7,10,,0.8703084882407812,False
ABIDE2_fd2,female,teen_13_17,strength_neg,1,0.0,0.025811948095049175,0.055190941682709924,0.07335534276097026,0.2861727908195876,0.3951443051317597,7,10,,0.10269747986535836,False
ABIDE2_fd2,female,teen_13_17,strength_neg,2,0.002677333045315433,0.0,-0.003824761493307758,0.1212128878417728,0.058012757881931255,0.5771683673469385,7,10,,0.1414150358154016,False
ABIDE2_fd2,female,teen_13_17,strength_neg,3,0.0,0.007336183389027913,0.007881176174362787,0.2972694461530962,0.2687054960563567,0.4129651669395039,7,10,,0.2972694461530962,False
ABIDE2_fd2,female,teen_13_17,strength_neg,4,0.005330403323297377,0.15319938253272664,0.41344908745147324,0.030219248345829782,0.12694185958998566,0.4865164975239453,7,10,,0.07941517462480217,False
ABIDE2_fd2,female,teen_13_17,strength_neg,5,0.007687850874297473,0.14919673374720982,0.4258159548768267,0.04261563671075381,0.14580659060898107,0.4627246463092689,7,10,,0.07941517462480217,False
ABIDE2_fd2,female,teen_13_17,strength_neg,6,0.0,0.09240354200204214,0.2685885711186598,0.04538009978560124,0.16388833450791157,0.4504972135618075,7,10,,0.07941517462480217,False
ABIDE2_fd2,female,teen_13_17,strength_neg,7,0.0,0.26354506818147805,0.7946292499264521,0.04183771245907395,0.15022361088935818,0.4595138583129279,7,10,,0.07941517462480217,False
ABIDE2_fd2,female,teen_13_17,strength_pos,1,5.290573431521046,12.942226593835013,7.149588470208746,0.11196909515320615,0.30275957747030635,0.5060749403399087,7,10,,0.2612612220241477,False
