sex,age_group,metric,module,beta_CTL_minus_ASD,p_uncorrected,mean_ASD,mean_CTL,n_ASD,n_CTL,p_FDR,FDR_significant
male,child,PC,1,-0.005119560873547563,0.6603895892631328,0.4239150040600986,0.4119382148335479,135,145,0.7888868075179084,False
male,child,PC,2,-0.01582609278317006,0.22036671960200702,0.484439904035774,0.46586935431253695,135,145,0.6170268148856196,False
male,child,PC,3,-0.025451532329024126,0.26490089057963745,0.5560470490036992,0.5280951758480719,135,145,0.6181020780191541,False
male,child,PC,4,-0.029639508650547024,0.07040357339273778,0.4264765202908597,0.39894679138729716,135,145,0.3645948749753888,False
male,child,PC,5,-0.0006393680576957037,0.9389752184575058,0.6512126635104827,0.6494768026407618,135,145,0.9389752184575058,False
male,child,PC,6,-0.003803616799971348,0.6761886921582072,0.49011539916913033,0.4798426360077256,135,145,0.7888868075179084,False
male,child,PC,7,-0.0006679316853856537,0.9358896279981223,0.6907629459500525,0.6875776580047183,135,145,0.9389752184575058,False
male,child,Z,1,0.014405379252534045,0.413184548529566,-0.05346183091338895,-0.04114126396713612,135,145,0.6427315199348804,False
male,child,Z,2,0.013996636369985195,0.4847316196799505,0.037240440047224536,0.050546119808158,135,145,0.6786242675519306,False
male,child,Z,3,0.04871173288131768,0.09272648463471644,0.03623635384921345,0.08686157961082286,135,145,0.3645948749753888,False
male,child,Z,4,-0.034177389375790394,0.07678424639420647,-0.09492517166442285,-0.12769405614577273,135,145,0.3645948749753888,False
male,child,Z,5,0.021865650063999938,0.376378936189253,0.03211950726088876,0.04792356656367533,135,145,0.6427315199348804,False
male,child,Z,6,0.025654837292290993,0.10416996427868251,-0.08662509472782379,-0.06113088915079363,135,145,0.3645948749753888,False
male,child,Z,7,-0.03147512209583023,0.38371062571296377,0.1356697072335725,0.10115285633212244,135,145,0.6427315199348804,False
