sex,age_group,metric,module,beta_CTL_minus_ASD,p_uncorrected,mean_ASD,mean_CTL,n_ASD,n_CTL,note,p_FDR,FDR_significant
female,teen_13_17,PC,1,-2.8042861245622386e-05,0.9986424951950841,0.5311949404985432,0.5418356629443055,17,39,,0.9986424951950841,False
female,teen_13_17,PC,2,-0.007318894729236122,0.8352925444668741,0.4318425732516318,0.4253142083948383,17,39,,0.9546200508192847,False
female,teen_13_17,PC,3,-0.001387205594682743,0.9471413302326869,0.4548249266274265,0.4555489782384271,17,39,,0.9883213880688906,False
female,teen_13_17,PC,4,0.03426196526403368,0.5540546834513018,0.5019473151453485,0.5432429027431576,17,39,,0.9055517622538134,False
female,teen_13_17,PC,5,-0.011955537755196269,0.5991221373331114,0.49540122179525975,0.49401094290987974,17,39,,0.9055517622538134,False
female,teen_13_17,PC,6,-0.14362617605849348,0.006982342274895696,0.5084651857114478,0.3719123435343915,17,39,,0.10712766876748432,False
female,teen_13_17,PC,7,0.04476055446319983,0.14784175122713908,0.44269471122711723,0.4785869990293274,17,39,,0.44352525368141726,False
female,teen_13_17,Z,1,0.004908397451021236,0.907330223869194,-0.06356709231995994,-0.05186721296293413,17,39,,0.9883213880688906,False
female,teen_13_17,Z,2,-0.04197527656622979,0.5024070987235707,0.07429828745284796,0.03629709447034365,17,39,,0.9055517622538134,False
female,teen_13_17,Z,3,0.023186712332679785,0.6625611976292715,-0.19026397511908558,-0.1695977171313771,17,39,,0.9055517622538134,False
female,teen_13_17,Z,4,0.16297079435169246,0.02878693610716699,-0.1348116558243319,0.022446699865903145,17,39,,0.2058114713184666,False
female,teen_13_17,Z,5,0.04280163620300033,0.3752343591995623,-0.020494897525130226,0.0001525839506444808,17,39,,0.9055517622538134,False
female,teen_13_17,Z,6,-0.02610944062430247,0.6778354760968455,-0.04062390869524858,-0.062340508786156726,17,39,,0.9055517622538134,False
female,teen_13_17,Z,7,0.07931095114759772,0.12802739158456933,-0.0458248413356682,0.028018321977970773,17,39,,0.43895105686138053,False
female,teen_13_17,Strength_pos,1,-0.9457205478264301,0.4049753105260461,10.330923875244547,9.534573460669046,17,39,,0.9055517622538134,False
female,teen_13_17,Strength_pos,2,1.2453478464762455,0.43227333351776076,14.159630787676626,14.701624876542478,17,39,,0.9055517622538134,False
female,teen_13_17,Strength_pos,3,0.6229728539321899,0.5101168332592037,8.040633961332603,8.648256466571066,17,39,,0.9055517622538134,False
female,teen_13_17,Strength_pos,4,1.5272467768914928,0.0343019118864111,3.7652970957232346,5.28720445459452,17,39,,0.2058114713184666,False
female,teen_13_17,Strength_pos,5,2.0652780672791495,0.1247165880885676,10.476485509792091,11.686401703272608,17,39,,0.43895105686138053,False
female,teen_13_17,Strength_pos,6,-1.9424950189790606,0.05784939099666685,6.99019491405585,4.981899080562228,17,39,,0.27767707678400083,False
female,teen_13_17,Strength_pos,7,2.8738757611326435,0.008927305730623693,9.003850267104937,11.53484028177712,17,39,,0.10712766876748432,False
female,teen_13_17,Strength_neg,1,0.006358589191678075,0.7546264685448445,0.0,0.012944225707974178,17,39,,0.9055517622538134,False
female,teen_13_17,Strength_neg,2,0.0,,0.0,0.0,17,39,constant_outcome,,False
female,teen_13_17,Strength_neg,3,0.0,,0.0,0.0,17,39,constant_outcome,,False
female,teen_13_17,Strength_neg,4,0.0,,0.0,0.0,17,39,constant_outcome,,False
female,teen_13_17,Strength_neg,5,0.006348541283530753,0.7546264685448445,0.0,0.012923771109158114,17,39,,0.9055517622538134,False
female,teen_13_17,Strength_neg,6,0.0,,0.0,0.0,17,39,constant_outcome,,False
female,teen_13_17,Strength_neg,7,0.008180453609978832,0.7546264685448445,0.0,0.01665300819555433,17,39,,0.9055517622538134,False
