sex,age_group,metric,module,beta_CTL_minus_ASD,p_uncorrected,mean_ASD,mean_CTL,n_ASD,n_CTL,p_FDR,FDR_significant
male,adult_18_plus,PC,1,-0.005563394889120936,0.7040907467267608,0.5133222132025611,0.5115840775992088,129,135,0.810568949105185,False
male,adult_18_plus,PC,2,0.05185257081219123,0.004139654583933009,0.39669978340439344,0.45173424839554016,129,135,0.05795516417506213,False
male,adult_18_plus,PC,3,-0.005291312131607648,0.7850050511791754,0.38112696734503565,0.38366040937860446,129,135,0.810568949105185,False
male,adult_18_plus,PC,4,-0.007700674048624751,0.810568949105185,0.3142894964667185,0.32216950971256775,129,135,0.810568949105185,False
male,adult_18_plus,PC,5,0.023536051943536668,0.10570035807640911,0.49673602009496204,0.5233191174837379,129,135,0.2959610026139455,False
male,adult_18_plus,PC,6,-0.03758162730801103,0.1822059976492526,0.30979435014174933,0.2834939026311172,129,135,0.3644119952985052,False
male,adult_18_plus,PC,7,0.02249722646441594,0.13494982556354504,0.4854809116203955,0.5103626909344833,129,135,0.3148829263149384,False
male,adult_18_plus,Z,1,0.03199449715126396,0.08718405285118135,-0.08478531375328267,-0.05544769401249756,129,135,0.2959610026139455,False
male,adult_18_plus,Z,2,-0.01873953596913653,0.4480434426398451,0.12579995285422632,0.1040659896079745,129,135,0.6969564663286478,False
male,adult_18_plus,Z,3,0.0225315072082726,0.26406293155064237,-0.22486403552830062,-0.19956505791255744,129,135,0.4621101302136242,False
male,adult_18_plus,Z,4,0.013333721362127845,0.7325874892604533,-0.18166507125942907,-0.16373039817786267,129,135,0.810568949105185,False
male,adult_18_plus,Z,5,0.03769935503943028,0.06519446461021403,-0.004543069994450806,0.026033233725920958,129,135,0.2959610026139455,False
male,adult_18_plus,Z,6,-0.06121348737134004,0.048164431254513376,-0.08461438038247425,-0.14370605667945063,129,135,0.2959610026139455,False
male,adult_18_plus,Z,7,0.010274792043986913,0.6476708915806784,-0.048374001686897934,-0.03771248184546477,129,135,0.810568949105185,False
