sex,age_group,metric,module,beta_CTL_minus_ASD,p_uncorrected,mean_ASD,mean_CTL,n_ASD,n_CTL,note,p_FDR,FDR_significant
male,child_0_9,PC,1,-0.016293538324491926,0.19100414098610038,0.5518351278077719,0.5365623212382106,48,48,,0.40110869607081084,False
male,child_0_9,PC,2,-0.02478885250981103,0.33310178796531953,0.46616857637256026,0.44071153935686236,48,48,,0.5829281289393092,False
male,child_0_9,PC,3,-0.007050449811237031,0.5918323800698673,0.48976305160330064,0.48353982156860337,48,48,,0.7310870577333655,False
male,child_0_9,PC,4,-0.0567366329139168,0.08412969035487404,0.587229629413675,0.5314061712000763,48,48,,0.3750192532787078,False
male,child_0_9,PC,5,-0.011681891341639428,0.5563104521966868,0.48712094769425085,0.478234642091901,48,48,,0.7301574685081516,False
male,child_0_9,PC,6,-0.06797613582356604,0.04760561829333752,0.4864595603525516,0.42100776735599155,48,48,,0.3750192532787078,False
male,child_0_9,PC,7,0.025154239712697514,0.14286447743950773,0.5024501503182869,0.5280061023511843,48,48,,0.3750192532787078,False
male,child_0_9,Z,1,0.04033885818291734,0.13134814259555638,-0.08173206794669989,-0.04008241307601814,48,48,,0.3750192532787078,False
male,child_0_9,Z,2,-0.00487949367974817,0.8895474962870256,0.05214139639537102,0.04468371347579372,48,48,,0.9340248711013769,False
male,child_0_9,Z,3,0.007480197330777149,0.7766218590224041,-0.1470368971048004,-0.1364695755896965,48,48,,0.8587596972784909,False
male,child_0_9,Z,4,-0.05246640960875406,0.27321762977255837,-0.0016783034606069683,-0.049933487466110156,48,48,,0.5215972932021569,False
male,child_0_9,Z,5,0.09247826492564523,0.007473758990916651,-0.04517961506494184,0.03578100823046613,48,48,,0.15694893880924968,False
male,child_0_9,Z,6,-0.0004629548243081649,0.9916808481065752,-0.0548242372321698,-0.05366831935906702,48,48,,0.9916808481065752,False
male,child_0_9,Z,7,-0.0209311740242722,0.5138643093225423,-0.002980515256297419,-0.0148898660318719,48,48,,0.7301574685081516,False
male,child_0_9,Strength_pos,1,1.0408210387572199,0.10960856809152873,8.407087965943814,9.319693228456023,48,48,,0.3750192532787078,False
male,child_0_9,Strength_pos,2,1.3782270527472746,0.16264098173149832,13.968434825878168,15.176280635129336,48,48,,0.3794956240401628,False
male,child_0_9,Strength_pos,3,0.915428101778734,0.108869206374594,7.470219669075052,8.40242868739477,48,48,,0.3750192532787078,False
male,child_0_9,Strength_pos,4,0.5308858376653748,0.5435644240540869,6.227444837958505,6.5954304482501085,48,48,,0.7301574685081516,False
male,child_0_9,Strength_pos,5,1.5488144004711806,0.08265614993902219,10.398123922723636,11.655793387738216,48,48,,0.3750192532787078,False
male,child_0_9,Strength_pos,6,0.20405270643537987,0.7769730594424441,6.233903279952412,6.311050433360994,48,48,,0.8587596972784909,False
male,child_0_9,Strength_pos,7,0.6204688953997622,0.5028554840309079,11.235028552076956,11.937579517866661,48,48,,0.7301574685081516,False
male,child_0_9,Strength_neg,1,0.0,,0.0,0.0,48,48,constant_outcome,,False
male,child_0_9,Strength_neg,2,0.0,,0.0,0.0,48,48,constant_outcome,,False
male,child_0_9,Strength_neg,3,0.0,,0.0,0.0,48,48,constant_outcome,,False
male,child_0_9,Strength_neg,4,0.0,,0.0,0.0,48,48,constant_outcome,,False
male,child_0_9,Strength_neg,5,0.0,,0.0,0.0,48,48,constant_outcome,,False
male,child_0_9,Strength_neg,6,0.0,,0.0,0.0,48,48,constant_outcome,,False
male,child_0_9,Strength_neg,7,0.0,,0.0,0.0,48,48,constant_outcome,,False
