sex,age_group,metric,module,beta_CTL_minus_ASD,p_uncorrected,mean_ASD,mean_CTL,n_ASD,n_CTL,p_FDR,FDR_significant
female,young_adult,PC,1,0.07147691521614996,0.14731729562623905,0.49307559838920273,0.5677664698550616,11,18,0.5156105346918367,False
female,young_adult,PC,2,0.062127684510112725,0.3808768126434102,0.420716126573927,0.47846150000327775,11,18,0.6612743845931062,False
female,young_adult,PC,3,0.03393630316520963,0.472338846137933,0.45718464985114926,0.4936023329679412,11,18,0.6612743845931062,False
female,young_adult,PC,4,-0.03586448893852752,0.6402941565591982,0.5251259360202791,0.510401159952693,11,18,0.7424522948889646,False
female,young_adult,PC,5,0.026294582812097258,0.6138516493240693,0.5149357694767835,0.5450109095964977,11,18,0.7424522948889646,False
female,young_adult,PC,6,-0.14856110311516174,0.09475176201381849,0.5239939751155542,0.38013242146374293,11,18,0.5156105346918367,False
female,young_adult,PC,7,0.07410681781052447,0.23022128339333908,0.4557494836598402,0.5403630882447524,11,18,0.6446195935013495,False
female,young_adult,Z,1,-0.04015281560160794,0.43235620900389604,-0.012253594363034819,-0.048483739665107994,11,18,0.6612743845931062,False
female,young_adult,Z,2,0.16420501256096137,0.014992863313896364,0.006371865066938848,0.16239818681272314,11,18,0.2099000863945491,False
female,young_adult,Z,3,-0.05645246002098947,0.35707695390739125,-0.08022840127223739,-0.12958882129124857,11,18,0.6612743845931062,False
female,young_adult,Z,4,-0.04021105974449401,0.6894199881111814,-0.028659246025753374,-0.07688841928429326,11,18,0.7424522948889646,False
female,young_adult,Z,5,-0.054671275206816965,0.3263638186862041,0.0671259581242519,0.016405068957042364,11,18,0.6612743845931062,False
female,young_adult,Z,6,-0.004556524347703812,0.95826788918257,-0.0704832762433437,-0.08792247076377928,11,18,0.95826788918257,False
female,young_adult,Z,7,0.08961626473011895,0.1252452394569315,-0.03458501856088084,0.05245581314557117,11,18,0.5156105346918367,False
