sex,age_group,metric,module,beta_CTL_minus_ASD,p_uncorrected,mean_ASD,mean_CTL,n_ASD,n_CTL,note,p_FDR,FDR_significant
male,adult_18_plus,PC,1,-0.008633160860735093,0.41034858599039004,0.5354712159073184,0.5276704757811638,115,126,,0.5677152603989247,False
male,adult_18_plus,PC,2,0.0406487792436546,0.013082598992546322,0.4239510939474142,0.46448573596634096,115,126,,0.27049596749373034,False
male,adult_18_plus,PC,3,-0.009232874358237742,0.6203529614620304,0.4064621944167328,0.40119176940374557,115,126,,0.6767486852313059,False
male,adult_18_plus,PC,4,-0.025510845406755876,0.4456181281176903,0.3421644072882987,0.329739739747501,115,126,,0.5677152603989247,False
male,adult_18_plus,PC,5,0.013905566300968968,0.15966193581158847,0.5231524106374887,0.5370887984763619,115,126,,0.47898580743476543,False
male,adult_18_plus,PC,6,-0.060246794478030816,0.039101668903602047,0.3438670584015947,0.2920779022281614,115,126,,0.27049596749373034,False
male,adult_18_plus,PC,7,0.011685945724345236,0.2475528182211107,0.515062761034242,0.5254745855794762,115,126,,0.5401152397551506,False
male,adult_18_plus,Z,1,0.014714130399791704,0.4494412478158154,-0.07940632016448733,-0.06599315850049685,115,126,,0.5677152603989247,False
male,adult_18_plus,Z,2,-0.026545554730503594,0.2965074848641877,0.14101788554488562,0.1107534414380062,115,126,,0.5677152603989247,False
male,adult_18_plus,Z,3,0.02758580661696179,0.18132923949503688,-0.23080724903132008,-0.2006133618146117,115,126,,0.48354463865343167,False
male,adult_18_plus,Z,4,0.0028797070068517045,0.944944353746747,-0.17669947209458337,-0.1700926061807317,115,126,,0.944944353746747,False
male,adult_18_plus,Z,5,0.026756879690941267,0.2140424361078777,0.0032117830148506612,0.023476164814427537,115,126,,0.5137018466589065,False
male,adult_18_plus,Z,6,-0.06532528514123213,0.045082661248955054,-0.08467570421651123,-0.14647317895092118,115,126,,0.27049596749373034,False
male,adult_18_plus,Z,7,0.013153226733621326,0.5691125877185561,-0.050865667874372314,-0.038095954096419096,115,126,,0.6767486852313059,False
male,adult_18_plus,Strength_pos,1,-0.3949834240529413,0.3809454289347788,9.183367258156938,8.70115443975957,115,126,,0.5677152603989247,False
male,adult_18_plus,Strength_pos,2,1.4774961768388755,0.10161930371447356,16.621424597350583,17.744875755032332,115,126,,0.40647721485789423,False
male,adult_18_plus,Strength_pos,3,0.23192188809433967,0.5952708325642619,6.835277951248032,7.1955225062504375,115,126,,0.6767486852313059,False
male,adult_18_plus,Strength_pos,4,0.08244249269546412,0.7830462418036592,2.6167073517277384,2.778331761637057,115,126,,0.8170917305777313,False
male,adult_18_plus,Strength_pos,5,1.5420713311483105,0.06606353818012023,12.523016187302948,13.613602371893801,115,126,,0.3171049832645771,False
male,adult_18_plus,Strength_pos,6,-1.0631900122190527,0.03628376116023756,5.533685553658286,4.441818542440054,115,126,,0.27049596749373034,False
male,adult_18_plus,Strength_pos,7,1.009585857709033,0.13764879731125765,11.39208401943837,12.128266907605457,115,126,,0.4719387336385976,False
male,adult_18_plus,Strength_neg,1,0.002877856452558749,0.33825602087060935,0.0,0.0028921194498682168,115,126,,0.5677152603989247,False
male,adult_18_plus,Strength_neg,2,0.0,,0.0,0.0,115,126,constant_outcome,,False
male,adult_18_plus,Strength_neg,3,0.002701304925574768,0.33825602087060935,0.0,0.00271469291261327,115,126,,0.5677152603989247,False
male,adult_18_plus,Strength_neg,4,-0.0017672145248177943,0.35511212379978596,0.001990690776212378,0.0,115,126,,0.5677152603989247,False
male,adult_18_plus,Strength_neg,5,0.0,,0.0,0.0,115,126,constant_outcome,,False
male,adult_18_plus,Strength_neg,6,0.0,,0.0,0.0,115,126,constant_outcome,,False
male,adult_18_plus,Strength_neg,7,0.0,,0.0,0.0,115,126,constant_outcome,,False
