sex,age_group,metric,module,beta_CTL_minus_ASD,p_uncorrected,mean_ASD,mean_CTL,n_ASD,n_CTL,p_FDR,FDR_significant
female,adult_18_plus,PC,1,0.010560020440073224,0.8381176488252035,0.4478008945917396,0.4586986748717621,12,17,0.912947331218942,False
female,adult_18_plus,PC,2,-0.012622280152353987,0.5913566776932887,0.6209564717687011,0.6138920437909384,12,17,0.912947331218942,False
female,adult_18_plus,PC,3,-0.0038842288387577646,0.9590358376946602,0.43472056277835697,0.4183245326451322,12,17,0.9590358376946602,False
female,adult_18_plus,PC,4,-0.006316895055519167,0.8694736487799447,0.5085563335208977,0.4926646115710118,12,17,0.912947331218942,False
female,adult_18_plus,PC,5,-0.1964572498013264,0.005167301896172407,0.5154604302082605,0.33142681435919147,12,17,0.10851333981962055,False
female,adult_18_plus,PC,6,-0.037409831310322536,0.5705016271625463,0.448380008794699,0.41554175861515225,12,17,0.912947331218942,False
female,adult_18_plus,PC,7,-0.05898438455945642,0.042962260892169826,0.5818457654944315,0.5185149335952751,12,17,0.4511037393677832,False
female,adult_18_plus,Z,1,0.027781317752634888,0.652311804729921,-0.01660888496623424,0.009204559311388345,12,17,0.912947331218942,False
female,adult_18_plus,Z,2,0.034505112433479895,0.6249220636237615,-0.025951654541682256,0.030436169650899694,12,17,0.912947331218942,False
female,adult_18_plus,Z,3,-0.02531973770881157,0.7433012794219889,-0.21255684072277214,-0.23246424561556436,12,17,0.912947331218942,False
female,adult_18_plus,Z,4,0.04218244126291666,0.4849967994386446,-0.054625671343206283,-0.0010322147955132944,12,17,0.912947331218942,False
female,adult_18_plus,Z,5,0.06493053464585058,0.46471372644569997,-0.18864270969918306,-0.12101903627563443,12,17,0.912947331218942,False
female,adult_18_plus,Z,6,0.07859046736798239,0.24167159048535394,0.07463369950163344,0.175529363858592,12,17,0.887038437576004,False
female,adult_18_plus,Z,7,0.03192542699966768,0.6291439318183807,-0.0424562742214985,-0.00666705031038331,12,17,0.912947331218942,False
female,adult_18_plus,Strength,1,1.8486927364727594,0.2956794791920013,9.600602820696178,11.341302577994947,12,17,0.887038437576004,False
female,adult_18_plus,Strength,2,1.9099133746043402,0.24270693042159028,7.27193439445718,9.497320470449468,12,17,0.887038437576004,False
female,adult_18_plus,Strength,3,0.16446919348436562,0.8532102920434256,4.144160118778506,4.479892378727826,12,17,0.912947331218942,False
female,adult_18_plus,Strength,4,0.4495053471024534,0.7846605491974556,10.82332977905581,11.182256509701606,12,17,0.912947331218942,False
female,adult_18_plus,Strength,5,-1.7489223774817089,0.15361326565355793,5.656843184001453,4.47316783440313,12,17,0.887038437576004,False
female,adult_18_plus,Strength,6,1.9270921181660956,0.39928346270360626,13.03077254932891,14.793364494726196,12,17,0.912947331218942,False
female,adult_18_plus,Strength,7,-1.6428588180291985,0.27829046581670414,10.165281991651968,8.35288123422566,12,17,0.887038437576004,False
