scenario,sex,age_group,metric,module,mean_ASD,mean_CTL,beta_CTL_minus_ASD,p_DX,p_SITE,r2,n_ASD,n_CTL,note,p_DX_FDR,DX_FDR_significant
ABIDE2_fd2,male,adult_18_plus,PC,1,0.46380661288950265,0.46870243477422513,-0.0371670487742718,0.42384003858818164,0.000166409380062171,0.3371357158116163,40,31,,0.741720067529318,False
ABIDE2_fd2,male,adult_18_plus,PC,2,0.4303232961257407,0.46566738161666144,-0.0078035605906845405,0.8178737624002866,0.024760150140010137,0.2183781191958546,40,31,,0.9075329332838983,False
ABIDE2_fd2,male,adult_18_plus,PC,3,0.5284547636418797,0.5043616888622856,-0.012037294741560206,0.6691433972180583,6.948652410244385e-05,0.36546944115367175,40,31,,0.9075329332838983,False
ABIDE2_fd2,male,adult_18_plus,PC,4,0.33919883151404584,0.3670932168311581,0.0022779131662491355,0.9075329332838983,2.2321311873482946e-05,0.4028931962961415,40,31,,0.9075329332838983,False
ABIDE2_fd2,male,adult_18_plus,PC,5,0.43956141046636715,0.38410896024337865,-0.0337687605403186,0.2271806201601257,0.0743964203624785,0.2320271301162392,40,31,,0.741720067529318,False
ABIDE2_fd2,male,adult_18_plus,PC,6,0.5191273062361539,0.4444898570304997,-0.040194479761115925,0.0990579436051922,0.014848275533549346,0.3495102734217871,40,31,,0.6934056052363454,False
ABIDE2_fd2,male,adult_18_plus,PC,7,0.5520972610618596,0.5270441106892672,-0.028158911817614665,0.3254721322732455,0.08258761660141435,0.1729593045360247,40,31,,0.741720067529318,False
ABIDE2_fd2,male,adult_18_plus,PC_neg,1,0.013395314161734584,0.004607293160400545,-0.012295559829229691,0.3822178229223453,0.02601782419292778,0.20501413469980323,40,31,,0.9742631652268926,False
ABIDE2_fd2,male,adult_18_plus,PC_neg,2,0.009564639559012484,0.008823578517432443,0.0043821947856459665,0.573997652565797,0.0007538280516910927,0.2998560918986136,40,31,,0.9742631652268926,False
ABIDE2_fd2,male,adult_18_plus,PC_neg,3,0.04211767126695859,0.019252106739870795,-0.005411844093066578,0.70687350700751,1.5530510266408314e-10,0.5985393035437427,40,31,,0.9742631652268926,False
ABIDE2_fd2,male,adult_18_plus,PC_neg,4,0.02004029835839011,0.01172203441642026,0.0019067625083706158,0.8067360988586099,3.413477523806768e-07,0.47422390634387945,40,31,,0.9742631652268926,False
ABIDE2_fd2,male,adult_18_plus,PC_neg,5,0.02747915605911353,0.01794278921293346,0.000409608009261007,0.9742631652268926,2.1903429013504155e-05,0.38874506283558563,40,31,,0.9742631652268926,False
ABIDE2_fd2,male,adult_18_plus,PC_neg,6,0.04463745201317222,0.012320816268510344,0.009609046308635374,0.636493326707155,0.05778350725914926,0.21607090902249704,40,31,,0.9742631652268926,False
ABIDE2_fd2,male,adult_18_plus,PC_neg,7,0.013329073793491525,0.006802735721813406,-0.0007329760214044396,0.9020553122354903,1.0943744166030432e-06,0.4537317511295902,40,31,,0.9742631652268926,False
ABIDE2_fd2,male,adult_18_plus,PC_pos,1,0.46161962860331734,0.4686480733563452,-0.03491819646153465,0.4501643606138448,0.00014307233512464096,0.3408521315908405,40,31,,0.7877876310742284,False
ABIDE2_fd2,male,adult_18_plus,PC_pos,2,0.4282455404003363,0.4643086752381565,-0.006257504137692341,0.854743740849846,0.019172590602516103,0.22661262335205412,40,31,,0.9582890682550564,False
ABIDE2_fd2,male,adult_18_plus,PC_pos,3,0.5239391334269656,0.4987597774408089,-0.01502008248608817,0.6003143754462862,5.142330232324161e-05,0.37254582527151237,40,31,,0.8404401256248006,False
ABIDE2_fd2,male,adult_18_plus,PC_pos,4,0.3359559012804162,0.36463663263344204,0.001015267177037836,0.9582890682550564,9.707458917370334e-06,0.42092424876014733,40,31,,0.9582890682550564,False
ABIDE2_fd2,male,adult_18_plus,PC_pos,5,0.4353759039264527,0.38029123128439013,-0.034493235504695824,0.2178845795902223,0.07773568129531003,0.2297186014341237,40,31,,0.7608501698637015,False
ABIDE2_fd2,male,adult_18_plus,PC_pos,6,0.5133433008659024,0.4426294577057331,-0.04147330234959,0.09618742517546273,0.03229677110277924,0.31545131420069916,40,31,,0.6733119762282391,False
ABIDE2_fd2,male,adult_18_plus,PC_pos,7,0.5511272432204855,0.5257041514788134,-0.02825261700582971,0.3260786442273006,0.07829173778782808,0.17514504144821508,40,31,,0.7608501698637015,False
ABIDE2_fd2,male,adult_18_plus,strength_neg,1,0.1793283162372453,0.015382013013285975,-0.19617336962577095,0.20275237233940038,0.03178581165258527,0.2115811535911769,40,31,,0.8555453736662579,False
ABIDE2_fd2,male,adult_18_plus,strength_neg,2,0.17024836452169853,0.0749124002479971,-0.12502359013468767,0.3737315470683196,0.0013806691463787767,0.29037492909416474,40,31,,0.8555453736662579,False
ABIDE2_fd2,male,adult_18_plus,strength_neg,3,0.6296561356633902,0.26073585359853657,-0.1774848568209775,0.46985279365594973,4.275349680426192e-10,0.5839786900158122,40,31,,0.8555453736662579,False
ABIDE2_fd2,male,adult_18_plus,strength_neg,4,0.22285545407371088,0.1474177033757884,0.04253151783895197,0.6371947827617238,2.5828557759079197e-08,0.5147672727659522,40,31,,0.8920726958664134,False
ABIDE2_fd2,male,adult_18_plus,strength_neg,5,0.28080263116530013,0.13054304298717306,-0.09240735512952966,0.4888830706664331,0.0002744671173947392,0.3404271565697031,40,31,,0.8555453736662579,False
ABIDE2_fd2,male,adult_18_plus,strength_neg,6,0.4742705513288577,0.09008938612476472,0.05300349890884644,0.8178908476773469,0.1306855917263147,0.193550610899203,40,31,,0.9033345049378008,False
