scenario,sex,age_group,metric,module,mean_ASD,mean_CTL,beta_CTL_minus_ASD,p_DX,p_SITE,r2,n_ASD,n_CTL,note,p_DX_FDR,DX_FDR_significant
ABIDE1_fd2,female,child_0_9,PC,1,0.26816869960647904,0.3440624422190251,0.03280458288392962,0.5313554319177556,0.35397345662246676,0.4153299586767607,5,18,,0.9298720058560723,False
ABIDE1_fd2,female,child_0_9,PC,2,0.5753075363762157,0.49382230846141567,-0.05075574750836859,0.5172213455639962,0.7657931994477564,0.25097756268158233,5,18,,0.9298720058560723,False
ABIDE1_fd2,female,child_0_9,PC,3,0.4424916668081055,0.38051038688111943,-0.0188329015787512,0.7861626374186266,0.4955091269965609,0.315603083096642,5,18,,0.9375365013936257,False
ABIDE1_fd2,female,child_0_9,PC,4,0.6114872317928375,0.41903600462678203,-0.14859398859139705,0.12891284285120688,0.80883207245682,0.39038684900631215,5,18,,0.9023898999584482,False
ABIDE1_fd2,female,child_0_9,PC,5,0.4211004372193166,0.4654673328199087,0.054270757518555424,0.5228911102335244,0.3120602651914689,0.35611916193794646,5,18,,0.9298720058560723,False
ABIDE1_fd2,female,child_0_9,PC,6,0.4100233174916828,0.3307745593961681,-0.017617454592365606,0.8036027154802505,0.047081104351535945,0.5595974547379495,5,18,,0.9375365013936257,False
ABIDE1_fd2,female,child_0_9,PC,7,0.5658743327731612,0.5095467442360836,-0.0011332798196933558,0.9895189755464616,0.4225558194216918,0.3212188320545277,5,18,,0.9895189755464616,False
ABIDE1_fd2,female,child_0_9,PC_neg,1,0.022904125857092717,0.025146563376953687,-0.01623253769373322,0.39237509918807917,2.1164065729717004e-05,0.8489761294607514,5,18,,0.9357323880400094,False
ABIDE1_fd2,female,child_0_9,PC_neg,2,0.026689410248214494,0.016903781126320974,-0.027933257558955756,0.2500148009623917,0.16176104221490278,0.4276602631047428,5,18,,0.9357323880400094,False
ABIDE1_fd2,female,child_0_9,PC_neg,3,0.00420693330406691,0.011050605833548548,0.000237042010524058,0.9873483094979615,0.2851744170430252,0.36470954532463007,5,18,,0.9873483094979615,False
ABIDE1_fd2,female,child_0_9,PC_neg,4,0.01556253011394261,0.008809112828955714,-0.008095673819033351,0.5347042217371482,0.2758381099256124,0.3714987639519093,5,18,,0.9357323880400094,False
ABIDE1_fd2,female,child_0_9,PC_neg,5,0.00944607689659572,0.025453573329954664,0.000540703573109709,0.9818463373027398,0.0006394873109405527,0.758493433016997,5,18,,0.9873483094979615,False
ABIDE1_fd2,female,child_0_9,PC_neg,6,0.0037130818979738355,0.01622128122531536,0.004354711690401579,0.7811414672699052,0.021803745644751505,0.597650308566646,5,18,,0.9873483094979615,False
ABIDE1_fd2,female,child_0_9,PC_neg,7,0.0,0.009001469303063326,0.011035298605045034,0.4383179205389641,0.8587247471050077,0.1727515867054723,5,18,,0.9357323880400094,False
ABIDE1_fd2,female,child_0_9,PC_pos,1,0.2584432773336901,0.33970569115299304,0.04041283427658056,0.4536947017685178,0.45157418399777893,0.39496605315117816,5,18,,0.9122891696566638,False
ABIDE1_fd2,female,child_0_9,PC_pos,2,0.5726808296422958,0.4923691029951256,-0.049077332598329776,0.5360212851205286,0.7974095263749117,0.23745802438121444,5,18,,0.9122891696566638,False
ABIDE1_fd2,female,child_0_9,PC_pos,3,0.4412951740161491,0.3781468261774287,-0.01992125597253344,0.7819621454199975,0.5179516233256685,0.30723589711826194,5,18,,0.9122891696566638,False
ABIDE1_fd2,female,child_0_9,PC_pos,4,0.6088434233522465,0.41426317492708736,-0.15028309384252658,0.13379173774244288,0.8297152869196498,0.38126361263789543,5,18,,0.9122891696566638,False
ABIDE1_fd2,female,child_0_9,PC_pos,5,0.41872525795807986,0.46188963472662103,0.055046573447118774,0.5143847690994502,0.2845345632756939,0.36737257416334457,5,18,,0.9122891696566638,False
ABIDE1_fd2,female,child_0_9,PC_pos,6,0.40872915688996114,0.32001659516307357,-0.02591806198435123,0.744190160674827,0.11790329300352335,0.4906222181101637,5,18,,0.9122891696566638,False
ABIDE1_fd2,female,child_0_9,PC_pos,7,0.5663784051253999,0.50884097976306,-0.0023450126188468423,0.9784773499306723,0.4322129753755965,0.3184433687403727,5,18,,0.9784773499306723,False
ABIDE1_fd2,female,child_0_9,strength_neg,1,0.4143646290135938,0.42011389744682215,-0.2567710968753553,0.5062833281373526,0.00023639650716969038,0.7880309716274227,5,18,,0.8788534958182298,False
ABIDE1_fd2,female,child_0_9,strength_neg,2,0.2557091193199158,0.20177624901135763,-0.2087082834620225,0.29907738365814823,0.007863372441427619,0.6474869401336063,5,18,,0.8788534958182298,False
ABIDE1_fd2,female,child_0_9,strength_neg,3,0.11020611564318339,0.14211769501368204,-0.031569044056691614,0.8788534958182298,0.4884065010591477,0.2771139950199333,5,18,,0.8788534958182298,False
ABIDE1_fd2,female,child_0_9,strength_neg,4,0.31904590775569275,0.16864909466218067,-0.15879707731175838,0.5753333078840525,0.3633803890992991,0.33603898052444015,5,18,,0.8788534958182298,False
ABIDE1_fd2,female,child_0_9,strength_neg,5,0.09309429135815851,0.2823936490491889,0.05199911657673481,0.8765716745686999,0.016558469612644556,0.6090187434980364,5,18,,0.8788534958182298,False
ABIDE1_fd2,female,child_0_9,strength_neg,6,0.06607779843466623,0.4353158672650655,0.22278026857770492,0.7256460940747976,0.3299403494395448,0.3516379490514626,5,18,,0.8788534958182298,False
ABIDE1_fd2,female,child_0_9,strength_neg,7,0.010215244122913905,0.08160002009263115,0.08053429766481086,0.6324963554163053,0.929403120083162,0.12102332948495564,5,18,,0.8788534958182298,False
ABIDE1_fd2,female,child_0_9,strength_pos,1,6.435367287036985,12.742264153113352,3.9759656496738174,0.16216362601846046,0.08053449415494121,0.6023075134265328,5,18,,0.3783817940430744,False
ABIDE1_fd2,female,child_0_9,strength_pos,2,22.37647730445862,15.384312152862549,-7.48610997407059,0.154626323749378,0.5662367872489543,0.3476867684505337,5,18,,0.3783817940430744,False
ABIDE1_fd2,female,child_0_9,strength_pos,3,14.277502861420313,11.168132387156838,-1.3645791068411635,0.5774576367718862,0.04725509198709579,0.5669580613315521,5,18,,0.7019752568309382,False
ABIDE1_fd2,female,child_0_9,strength_pos,4,18.06027303189039,9.202615057014759,-8.080828191647138,0.023271406329522855,0.4113744578192747,0.5507590216393004,5,18,,0.16289984430666,False
ABIDE1_fd2,female,child_0_9,strength_pos,5,14.690878758759334,20.181023971559444,4.938859421847742,0.3947136220886625,0.4413479707237332,0.3384222289811606,5,18,,0.6907488386551595,False
ABIDE1_fd2,female,child_0_9,strength_pos,6,7.318076028823853,6.695424727977269,0.7755189148779231,0.7019752568309382,0.0697390026242153,0.5031327545474557,5,18,,0.7019752568309382,False
ABIDE1_fd2,female,child_0_9,strength_pos,7,10.984227907657623,13.391677668170322,1.7406553778993539,0.6239145336801077,0.2712217664295704,0.3814850401282255,5,18,,0.7019752568309382,False
ABIDE1_fd2,female,child_0_9,z,1,3.614679615058651e-18,-2.140837033918664e-17,4.475883827856925e-18,0.9207118631617282,0.8640419162568738,0.16328450900412372,5,18,,0.9207118631617282,False
ABIDE1_fd2,female,child_0_9,z,2,5.3179682879544996e-17,2.8834959111792234e-18,-5.1512157112953406e-17,0.3124962473175352,0.8509088012824754,0.2171001648822286,5,18,,0.5605420464256646,False
ABIDE1_fd2,female,child_0_9,z,3,-3.4324395177994427e-17,5.0885221961986346e-18,5.71545734716569e-17,0.18065500401672793,0.5439205247319304,0.30623622856468025,5,18,,0.5605420464256646,False
ABIDE1_fd2,female,child_0_9,z,4,-4.930380657631324e-33,2.4896494331148613e-17,5.006351084178681e-18,0.905991927241122,0.4000770947787547,0.3252614147414189,5,18,,0.9207118631617282,False
ABIDE1_fd2,female,child_0_9,z,5,-3.3880944027353915e-17,1.0448219556458012e-17,1.2411930729021714e-16,0.03223850364094379,0.08981864774013575,0.49787835674374714,5,18,,0.22566952548660657,False
ABIDE1_fd2,female,child_0_9,z,6,1.2053849981644558e-17,1.8591830015548255e-17,3.224237919259148e-17,0.3203097408146655,0.28026887662398026,0.3596534561475143,5,18,,0.5605420464256646,False
ABIDE1_fd2,female,child_0_9,z,7,7.137148015447437e-18,-9.692423230854539e-18,-4.173770769267506e-17,0.4075356690153821,0.10980303258246418,0.46381203130954096,5,18,,0.5705499366215349,False
ABIDE1_fd2,female,child_0_9,z_neg,1,7.745742032268534e-19,-3.585991681605809e-20,-7.643824373949216e-19,0.7129096099176755,0.0006660258218022958,0.755188206457946,5,18,,1.0,False
ABIDE1_fd2,female,child_0_9,z_neg,2,0.0,0.0,0.0,,,,5,18,,1.0,False
ABIDE1_fd2,female,child_0_9,z_neg,3,0.0,-2.0559685641206603e-19,-4.869399230812093e-19,0.6828235430413737,0.6106864179111238,0.23545706371191122,5,18,,1.0,False
ABIDE1_fd2,female,child_0_9,z_neg,4,0.0,6.938893903907228e-18,8.217111201995406e-18,0.50702930696794,0.5470406086823846,0.2737099883439432,5,18,,1.0,False
ABIDE1_fd2,female,child_0_9,z_neg,5,0.0,0.0,0.0,,,,5,18,,1.0,False
ABIDE1_fd2,female,child_0_9,z_neg,6,0.0,3.52451753849256e-18,7.573310822381376e-35,0.9907549786424481,5.323511011566801e-227,1.0,5,18,,1.0,False
ABIDE1_fd2,female,child_0_9,z_neg,7,0.0,0.0,0.0,,,,5,18,,1.0,False
ABIDE1_fd2,female,child_0_9,z_pos,1,-1.6007866866688302e-17,-2.2842767011828962e-17,2.384023890852826e-17,0.5675586997934922,0.6795903718198494,0.2117542812444385,5,18,,0.6621518164257408,False
ABIDE1_fd2,female,child_0_9,z_pos,2,5.3179682879544996e-17,2.8834959111792234e-18,-5.1512157112953406e-17,0.3124962473175352,0.8509088012824754,0.2171001648822286,5,18,,0.5605420464256646,False
ABIDE1_fd2,female,child_0_9,z_pos,3,-3.4324395177994427e-17,1.5419764230905068e-19,5.277211416392602e-17,0.22201514360113317,0.4983828902725341,0.30819587686849326,5,18,,0.5605420464256646,False
ABIDE1_fd2,female,child_0_9,z_pos,4,-4.930380657631324e-33,3.1449894129283225e-17,1.276695610828545e-17,0.7309041145917604,0.20931752064365902,0.4202683513441091,5,18,,0.7309041145917604,False
ABIDE1_fd2,female,child_0_9,z_pos,5,-3.3880944027353915e-17,1.0448219556458012e-17,1.2411930729021714e-16,0.03223850364094379,0.08981864774013575,0.49787835674374714,5,18,,0.22566952548660657,False
ABIDE1_fd2,female,child_0_9,z_pos,6,1.2053849981644558e-17,2.4583509830985608e-17,3.224237919259148e-17,0.3203097408146655,0.33029563443098786,0.3430874874777492,5,18,,0.5605420464256646,False
ABIDE1_fd2,female,child_0_9,z_pos,7,7.137148015447437e-18,-9.692423230854539e-18,-4.173770769267506e-17,0.4075356690153821,0.10980303258246418,0.46381203130954096,5,18,,0.5705499366215349,False
