network,beta_CTL_minus_ASD,p_uncorrected,mean_ASD,mean_CTL,cohen_d_CTL_minus_ASD,n_ASD,n_CTL,p_FDR,FDR_significant
net1_1,0.06092012044700975,0.003244109434703917,0.5254033150997006,0.5766462938016924,0.3549256876052716,80,97,0.010813698115679725,True
net1_2,0.04784687620655589,0.007301480349524924,0.22748135032527692,0.26764443604523763,0.32936453182855613,80,97,0.015076198805775931,True
net1_3,0.05382623885592198,0.0025463633897473514,0.27713618346564683,0.32165626315346746,0.36267190908646374,80,97,0.010813698115679725,True
net1_4,0.04521613909242747,0.002032766147883177,0.23989249289470632,0.27893054020644614,0.3948779665015505,80,97,0.010813698115679725,True
net2_2,0.03191650615775363,0.04553366107593813,0.3696871500951195,0.390342238751961,0.17870284190426708,80,97,0.055732538228495145,False
net2_3,0.03466288378962357,0.050159284405645634,0.23383369787219968,0.25804542494431665,0.1917819276191326,80,97,0.055732538228495145,False
net2_4,0.035146858596849025,0.0075380994028879655,0.21708101892824674,0.24577503296209552,0.31928337436511006,80,97,0.015076198805775931,True
net3_3,0.030970204469025462,0.0791570134388093,0.3782770421741791,0.39694709946950285,0.14710915408554637,80,97,0.0791570134388093,False
net3_4,0.029254816522161664,0.027641238978521922,0.19529604810378232,0.2183245840986326,0.2503975351168616,80,97,0.040061500942016784,True
net4_4,0.028864806996736117,0.028043050659411747,0.28863530959873207,0.3060495739358542,0.18753517716236834,80,97,0.040061500942016784,True
