network,beta_CTL_minus_ASD,p_uncorrected,mean_ASD,mean_CTL,cohen_d_CTL_minus_ASD,n_ASD,n_CTL,p_FDR,FDR_significant
net1_1,0.019814575583444793,0.5864943409904724,0.490697060078652,0.49117419590949113,0.0038169057887176847,17,39,0.887598466110022,False
net1_2,0.008992946591210688,0.7544621592738863,0.1952457528838161,0.20670890974561923,0.12137175712482692,17,39,0.887598466110022,False
net1_3,0.00984710389996904,0.736767799480558,0.22644319704432464,0.2286096683315452,0.02220639733376054,17,39,0.887598466110022,False
net1_4,-0.006345616314744423,0.7988386194990198,0.24106277366457107,0.22835083119246777,-0.15222718407629762,17,39,0.887598466110022,False
net2_2,-0.009615891414814922,0.7464752960800991,0.3629561591452576,0.3515989377945012,-0.11528079690825863,17,39,0.887598466110022,False
net2_3,0.013502186569144321,0.6798720745736322,0.19503388191601764,0.19987625449918528,0.04430780747391657,17,39,0.887598466110022,False
net2_4,-0.017765538675532377,0.4177263273209133,0.21654689893301493,0.19768679857955165,-0.26117575327276815,17,39,0.887598466110022,False
net3_3,0.023338381608488362,0.43311227666882,0.3395426836204355,0.35327445061868484,0.13831139896581748,17,39,0.887598466110022,False
net3_4,-0.012803637475425102,0.5749006524694551,0.18253148614720735,0.1638595421071231,-0.24480390615994935,17,39,0.887598466110022,False
net4_4,-0.0020859543898864193,0.9353934483118909,0.2913358205797472,0.2808044061014242,-0.12083974480261589,17,39,0.9353934483118909,False
