scenario,sex,age_group,metric,module,mean_ASD,mean_CTL,n_ASD,n_CTL,beta_CTL_minus_ASD,p_DX,p_DX_FDR,DX_FDR_significant,p_SITE,p_IQ,p_RIGHT_HANDED,n_model,n_model_ASD,n_model_CTL,note,model,model_label
OVERALL_ageSexMatched_fd-0.3,female,teen_13_17,Strength_pos,1,53.20834457552908,48.00390751179253,18,46,-8.931735540675893,0.1796980336987351,0.2096477059818576,False,0.116850063376101,0.1192492554488703,0.9078392756229028,47,12,35,,m3,site_iq_rh
OVERALL_ageSexMatched_fd-0.3,female,teen_13_17,Strength_pos,2,48.36135346157688,41.13816515721113,18,46,-12.466066296440266,0.0158774191494957,0.1111419340464699,False,0.0224559762452199,0.4968425743224627,0.9854802001975748,47,12,35,,m3,site_iq_rh
OVERALL_ageSexMatched_fd-0.3,female,teen_13_17,Strength_pos,3,46.28658625900263,38.319645063904,18,46,-12.329376287137984,0.0481817712119468,0.1686361992418141,False,0.0979553849010385,0.2551070746143589,0.9214365957600776,47,12,35,,m3,site_iq_rh
OVERALL_ageSexMatched_fd-0.3,female,teen_13_17,Strength_pos,4,50.546990287423895,46.90491971772747,18,46,-11.759440834025057,0.0788717020053298,0.1840339713457695,False,0.2399058120430122,0.5839855486276135,0.8167419379797386,47,12,35,,m3,site_iq_rh
OVERALL_ageSexMatched_fd-0.3,female,teen_13_17,Strength_pos,5,49.27435899934588,44.83907739773622,18,46,-9.970743440561415,0.1369041866724912,0.1974392817605469,False,0.1626668822653562,0.1407750980896661,0.8482352946989732,47,12,35,,m3,site_iq_rh
OVERALL_ageSexMatched_fd-0.3,female,teen_13_17,Strength_pos,6,50.52700541760068,47.45034756693578,18,46,-5.266239020300024,0.4092273278628994,0.4092273278628994,False,0.1236193945894574,0.0854062945914047,0.8153002047723077,47,12,35,,m3,site_iq_rh
OVERALL_ageSexMatched_fd-0.3,female,teen_13_17,Strength_pos,7,46.671608540822895,41.7712843671399,18,46,-9.909729759864144,0.1410280584003907,0.1974392817605469,False,0.2521551340699315,0.9696440146762756,0.9180680119414724,47,12,35,,m3,site_iq_rh
