module, mean_CTL, mean_ASD, beta_CTL_minus_ASD, p_DX  , p_DX_FDR, sig_DX_FDR, p_SITE, p_IQ  , p_RIGHT_HANDED, n_ASD, n_CTL, n_model, n_model_ASD, n_model_CTL, note
     1,   53.931,   49.493, 0.942             , 0.9108,   0.9584,           , 0.7259, 0.7138,               ,    20,    50,      69,          20,          49, 
     2,   42.788,   42.347, -1.647            , 0.7925,   0.9584,           , 0.8502, 0.8498,               ,    20,    50,      69,          20,          49, 
     3,   38.588,   41.187, -0.311            , 0.9584,   0.9584,           , 0.4291, 0.6773,               ,    20,    50,      69,          20,          49, 
     4,   53.045,   52.039, 0.576             , 0.9437,   0.9584,           , 0.6705, 0.9645,               ,    20,    50,      69,          20,          49, 
     5,   51.068,   47.633, 4.767             , 0.5378,   0.9584,           , 0.3497, 0.5672,               ,    20,    50,      69,          20,          49, 
     6,   49.27 ,   49.685, -6.274            , 0.3962,   0.9584,           , 0.6538, 0.6312,               ,    20,    50,      69,          20,          49, 
     7,   47.773,   46.684, -1.391            , 0.8496,   0.9584,           , 0.8788, 0.8491,               ,    20,    50,      69,          20,          49, 
