module,mean_CTL,mean_ASD,beta_CTL_minus_ASD,p_DX,p_DX_FDR,sig_DX_FDR,p_SITE,p_IQ,p_RIGHT_HANDED,n_ASD,n_CTL,n_model,n_model_ASD,n_model_CTL,note
1,0.174,0.151,0.039,0.1751,0.7144,,0.5366,,,132,135,267,132,135,
2,0.145,0.13,0.016,0.4208,0.7363,,0.1739,,,132,135,267,132,135,
3,0.116,0.125,-0.011,0.7015,0.8185,,0.5108,,,132,135,267,132,135,
4,0.112,0.124,-0.001,0.9658,0.9658,,0.0031,,,132,135,267,132,135,
5,0.184,0.158,0.018,0.3017,0.7144,,0.3433,,,132,135,267,132,135,
6,0.204,0.209,-0.01,0.598,0.8185,,0.0572,,,132,135,267,132,135,
7,0.201,0.18,0.017,0.3062,0.7144,,0.2684,,,132,135,267,132,135,
