full_path,file,scenario,metric_folder,sign_folder,metric,age_group,sex,model,module,module_yeo_label,beta_CTL_minus_ASD,p_DX,p_DX_FDR
/work/ioannou_lab/elizabeth.szentmiklo/abide-sex-age-connectomics/results/hubs_organized/OVERALL_ageSexMatched_fd-0.3/PC/neg/teen_13_17/female/site/module_stats_sitecov.csv,module_stats_sitecov.csv,OVERALL_ageSexMatched_fd-0.3,PC,neg,PC_neg,teen_13_17,female,site,2,Visual,0.0731711768269414,0.0091034549783625,0.0364138199134501
/work/ioannou_lab/elizabeth.szentmiklo/abide-sex-age-connectomics/results/hubs_organized/OVERALL_ageSexMatched_fd-0.3/PC/neg/teen_13_17/female/site_iq/module_stats_sitecov.csv,module_stats_sitecov.csv,OVERALL_ageSexMatched_fd-0.3,PC,neg,PC_neg,teen_13_17,female,site_iq,1,Somatomotor,0.0768995753938024,0.0209499210091259,0.0475021393649939
/work/ioannou_lab/elizabeth.szentmiklo/abide-sex-age-connectomics/results/hubs_organized/OVERALL_ageSexMatched_fd-0.3/PC/neg/teen_13_17/female/site_iq/module_stats_sitecov.csv,module_stats_sitecov.csv,OVERALL_ageSexMatched_fd-0.3,PC,neg,PC_neg,teen_13_17,female,site_iq,2,Visual,0.0819086710337256,0.0072686229345946,0.0475021393649939
/work/ioannou_lab/elizabeth.szentmiklo/abide-sex-age-connectomics/results/hubs_organized/OVERALL_ageSexMatched_fd-0.3/PC/neg/teen_13_17/female/site_iq/module_stats_sitecov.csv,module_stats_sitecov.csv,OVERALL_ageSexMatched_fd-0.3,PC,neg,PC_neg,teen_13_17,female,site_iq,3,Limbic,0.0697418385655159,0.0197659198412199,0.0475021393649939
/work/ioannou_lab/elizabeth.szentmiklo/abide-sex-age-connectomics/results/hubs_organized/OVERALL_ageSexMatched_fd-0.3/PC/neg/teen_13_17/female/site_iq/module_stats_sitecov.csv,module_stats_sitecov.csv,OVERALL_ageSexMatched_fd-0.3,PC,neg,PC_neg,teen_13_17,female,site_iq,4,Frontoparietal,0.0738786700366657,0.0237510696824969,0.0475021393649939
/work/ioannou_lab/elizabeth.szentmiklo/abide-sex-age-connectomics/results/hubs_organized/OVERALL_ageSexMatched_fd-0.3/PC/neg/teen_13_17/female/site_iq/module_stats_sitecov.csv,module_stats_sitecov.csv,OVERALL_ageSexMatched_fd-0.3,PC,neg,PC_neg,teen_13_17,female,site_iq,7,DefaultMode,0.0705613711894619,0.0297148162141252,0.0475437059426003
/work/ioannou_lab/elizabeth.szentmiklo/abide-sex-age-connectomics/results/hubs_organized/OVERALL_ageSexMatched_fd-0.3/PC/neg/teen_13_17/female/site_iq_rh/module_stats_sitecov.csv,module_stats_sitecov.csv,OVERALL_ageSexMatched_fd-0.3,PC,neg,PC_neg,teen_13_17,female,site_iq_rh,1,Somatomotor,0.1143816145859722,0.0121166261187781,0.0218717447921174
/work/ioannou_lab/elizabeth.szentmiklo/abide-sex-age-connectomics/results/hubs_organized/OVERALL_ageSexMatched_fd-0.3/PC/neg/teen_13_17/female/site_iq_rh/module_stats_sitecov.csv,module_stats_sitecov.csv,OVERALL_ageSexMatched_fd-0.3,PC,neg,PC_neg,teen_13_17,female,site_iq_rh,2,Visual,0.1097972696169093,0.0088188150591626,0.0218717447921174
/work/ioannou_lab/elizabeth.szentmiklo/abide-sex-age-connectomics/results/hubs_organized/OVERALL_ageSexMatched_fd-0.3/PC/neg/teen_13_17/female/site_iq_rh/module_stats_sitecov.csv,module_stats_sitecov.csv,OVERALL_ageSexMatched_fd-0.3,PC,neg,PC_neg,teen_13_17,female,site_iq_rh,3,Limbic,0.1019279271616768,0.0136698404950733,0.0218717447921174
/work/ioannou_lab/elizabeth.szentmiklo/abide-sex-age-connectomics/results/hubs_organized/OVERALL_ageSexMatched_fd-0.3/PC/neg/teen_13_17/female/site_iq_rh/module_stats_sitecov.csv,module_stats_sitecov.csv,OVERALL_ageSexMatched_fd-0.3,PC,neg,PC_neg,teen_13_17,female,site_iq_rh,4,Frontoparietal,0.1180087498757151,0.0078143392967965,0.0218717447921174
