scenario,sex,age_group,metric,module,mean_ASD,mean_CTL,beta_CTL_minus_ASD,p_DX,p_SITE,r2,n_ASD,n_CTL,note,p_DX_FDR,DX_FDR_significant
ABIDE1_fd2,male,adult_18_plus,PC,1,0.38386145518656317,0.36135108451053,-0.024828415868207013,0.060299251170789624,8.3238758277339e-06,0.22218920664657404,76,108,,0.4220947581955274,False
ABIDE1_fd2,male,adult_18_plus,PC,2,0.47330011120068566,0.4996420389290928,0.02046691429727968,0.2761056581155701,2.853967120617758e-07,0.25350240333959995,76,108,,0.48318490170224765,False
ABIDE1_fd2,male,adult_18_plus,PC,3,0.40334091592769683,0.4363922564554617,0.023138705801076062,0.15524787445959248,1.75511342754211e-05,0.21868851884432983,76,108,,0.48318490170224765,False
ABIDE1_fd2,male,adult_18_plus,PC,4,0.4025493658336008,0.38138772494012196,-0.020178056879147952,0.3780148917402299,6.822567022502895e-06,0.216646862117563,76,108,,0.5292208484363219,False
ABIDE1_fd2,male,adult_18_plus,PC,5,0.42555012963267663,0.43311130111984925,0.018972375945465934,0.2591511335374384,1.5860774661849515e-08,0.2758153116393034,76,108,,0.48318490170224765,False
ABIDE1_fd2,male,adult_18_plus,PC,6,0.33343552671406285,0.31899140993462194,-0.002163261981301401,0.896567714775057,4.6594488352943314e-17,0.43638582096668976,76,108,,0.9928127258372904,False
ABIDE1_fd2,male,adult_18_plus,PC,7,0.49147636591509464,0.48992856041694216,0.00017832526176811588,0.9928127258372904,0.009342913249940438,0.1245982605639937,76,108,,0.9928127258372904,False
ABIDE1_fd2,male,adult_18_plus,PC_neg,1,0.03386454526862982,0.024461119802898296,-0.002632751013447945,0.7961807737677136,0.04335052956912166,0.10532312760548501,76,108,,0.8828304290739137,False
ABIDE1_fd2,male,adult_18_plus,PC_neg,2,0.027073066773592804,0.010336026445389454,-0.014403954059060422,0.042658467703294865,2.54514372108326e-08,0.28833870523810057,76,108,,0.2986092739230641,False
ABIDE1_fd2,male,adult_18_plus,PC_neg,3,0.012197582757505095,0.007629770563729999,-0.003292129028031553,0.41727015561064085,1.72044792601128e-05,0.20809308640390645,76,108,,0.8189556378774228,False
ABIDE1_fd2,male,adult_18_plus,PC_neg,4,0.013283285362317581,0.007582632058250637,-0.0022662574497775514,0.5483865305791323,3.7026568483843476e-14,0.3911827386649943,76,108,,0.8189556378774228,False
ABIDE1_fd2,male,adult_18_plus,PC_neg,5,0.00963766559715594,0.004527282072298391,-0.004902953797653176,0.13814664334521437,0.26940211145611825,0.07972876602863932,76,108,,0.4835132517082503,False
ABIDE1_fd2,male,adult_18_plus,PC_neg,6,0.024962641871715315,0.01658987087045145,-0.0037080716659483397,0.5849683127695877,1.40025008310853e-09,0.3023475039935254,76,108,,0.8189556378774228,False
ABIDE1_fd2,male,adult_18_plus,PC_neg,7,0.0074427494402123885,0.005474036655040014,-0.0004093693257383633,0.8828304290739137,0.00016027451403980144,0.17950726500718728,76,108,,0.8828304290739137,False
ABIDE1_fd2,male,adult_18_plus,PC_pos,1,0.37249882747329677,0.3546923043685067,-0.02242113910241405,0.09169962152623523,3.8768833163334864e-07,0.24989024332305232,76,108,,0.43177278994735663,False
ABIDE1_fd2,male,adult_18_plus,PC_pos,2,0.46897401302002895,0.4986108641557414,0.023324036291728006,0.21963415488236113,7.933208437546535e-08,0.2676052365578442,76,108,,0.43177278994735663,False
ABIDE1_fd2,male,adult_18_plus,PC_pos,3,0.4014397136186753,0.43485065663298517,0.02358828847867529,0.14948651402199997,2.0403052535108114e-05,0.21724417439442367,76,108,,0.43177278994735663,False
ABIDE1_fd2,male,adult_18_plus,PC_pos,4,0.40020162620756655,0.38031163335925033,-0.019206777720074814,0.40262241344945726,7.2673422782599274e-06,0.2155746241348543,76,108,,0.5636713788292401,False
ABIDE1_fd2,male,adult_18_plus,PC_pos,5,0.42368052729995714,0.43177359470895404,0.019636636492079976,0.24672730854134664,1.482970174360262e-08,0.2765375140145857,76,108,,0.43177278994735663,False
ABIDE1_fd2,male,adult_18_plus,PC_pos,6,0.3265010736055462,0.3154280717589132,0.0011970113170527048,0.9421959826219252,1.572870300508289e-17,0.44330010335827363,76,108,,0.9884415399841691,False
ABIDE1_fd2,male,adult_18_plus,PC_pos,7,0.4906104954245521,0.4891466887932411,0.00028637712176887535,0.9884415399841691,0.00694076980931033,0.12883205692611932,76,108,,0.9884415399841691,False
ABIDE1_fd2,male,adult_18_plus,strength_neg,1,0.6134233510479641,0.3284343317163905,-0.19412785178934483,0.27697684288323116,0.19217405290587253,0.08748314145133085,76,108,,0.47044966539437433,False
ABIDE1_fd2,male,adult_18_plus,strength_neg,2,0.4102813974493429,0.17626421480267138,-0.16537981208393843,0.15561353422985225,0.0006992698147494394,0.1764387464691437,76,108,,0.36309824653632194,False
ABIDE1_fd2,male,adult_18_plus,strength_neg,3,0.1875412972088446,0.11751084083024364,-0.041145304276169754,0.4406069286616426,7.118719280530094e-06,0.21941740386582465,76,108,,0.5140414167719164,False
ABIDE1_fd2,male,adult_18_plus,strength_neg,4,0.24974472507050163,0.12557222563083525,-0.06891480963881723,0.336035475281696,8.013351728030059e-10,0.31166829363824544,76,108,,0.47044966539437433,False
ABIDE1_fd2,male,adult_18_plus,strength_neg,5,0.2746779277190539,0.08634053635033914,-0.151505490471068,0.09008403890623387,0.1914657102136163,0.09717023506613487,76,108,,0.31529413617181856,False
ABIDE1_fd2,male,adult_18_plus,strength_neg,6,0.44696375924841797,0.2237448266731999,-0.17032966769604838,0.08629020632624404,0.0021154333205653094,0.16709585694275597,76,108,,0.31529413617181856,False
ABIDE1_fd2,male,adult_18_plus,strength_neg,7,0.14524290100076145,0.12398353770927147,0.02297572199959811,0.7211737535725259,0.02450502960563217,0.11073454138734595,76,108,,0.7211737535725259,False
ABIDE1_fd2,male,adult_18_plus,strength_pos,1,15.202315716056962,14.82514184719781,-0.6128984422573028,0.5575197373222563,5.281855398874898e-11,0.3272424399182997,76,108,,0.9074388799476909,False
ABIDE1_fd2,male,adult_18_plus,strength_pos,2,12.990910050398425,15.100121724892542,1.5615640038741496,0.11264265247327526,1.6275733451341377e-07,0.2678011076733867,76,108,,0.30568916221011116,False
ABIDE1_fd2,male,adult_18_plus,strength_pos,3,11.092025379313712,12.971958464034548,1.166879265448384,0.1310096409471905,0.00023189697915728449,0.19704066746184268,76,108,,0.30568916221011116,False
ABIDE1_fd2,male,adult_18_plus,strength_pos,4,7.351725100523285,7.3712567208265805,-0.12453056843842161,0.8368540998454629,8.849661722163626e-06,0.2105968584870136,76,108,,0.9074388799476909,False
ABIDE1_fd2,male,adult_18_plus,strength_pos,5,17.547148227123728,17.2187606332631,0.12086613315899575,0.9074388799476909,4.470869178144499e-08,0.26550147182367934,76,108,,0.9074388799476909,False
ABIDE1_fd2,male,adult_18_plus,strength_pos,6,7.879588041941922,7.140956871566318,-0.2295765514693555,0.648745624921321,2.6323163550103306e-19,0.4734357700057583,76,108,,0.9074388799476909,False
ABIDE1_fd2,male,adult_18_plus,strength_pos,7,9.979187923210459,11.40296728282221,1.267580001357445,0.07289591425815939,6.281590444590301e-06,0.22940752791295604,76,108,,0.30568916221011116,False
ABIDE1_fd2,male,adult_18_plus,z,1,1.3801349564074941e-18,-1.1597694763593434e-17,-1.1440974074260014e-17,0.3128706080514763,0.8651792243983417,0.037507790196123714,76,108,,0.9932760699111824,False
ABIDE1_fd2,male,adult_18_plus,z,2,1.556686066600232e-19,1.5998005389563896e-18,1.8830492674804883e-18,0.8873275437310688,0.3323578960763917,0.06242739122252161,76,108,,0.9932760699111824,False
ABIDE1_fd2,male,adult_18_plus,z,3,1.644639590206783e-17,1.9349662475864747e-18,-1.5184690517192596e-17,0.15342544266974506,0.8847436468715869,0.039156333369324225,76,108,,0.9932760699111824,False
ABIDE1_fd2,male,adult_18_plus,z,4,-2.617302086561497e-18,-2.815244715160662e-18,1.5795114260803487e-18,0.8701179676224035,0.05835640407882205,0.09624358661533694,76,108,,0.9932760699111824,False
ABIDE1_fd2,male,adult_18_plus,z,5,-2.795706799759355e-18,-1.4954512723938024e-19,4.113468628788685e-18,0.7896362893489696,0.5725175806463726,0.04774523460032065,76,108,,0.9932760699111824,False
ABIDE1_fd2,male,adult_18_plus,z,6,4.78679335100367e-18,6.605716855346602e-18,7.686603555017509e-20,0.9932760699111824,0.8363267575058482,0.03233955509715536,76,108,,0.9932760699111824,False
ABIDE1_fd2,male,adult_18_plus,z,7,-3.8868240288803655e-18,4.635107700361327e-19,2.1488578869934966e-18,0.8584278092640139,0.7904533035942294,0.03584430985091347,76,108,,0.9932760699111824,False
ABIDE1_fd2,male,adult_18_plus,z_neg,1,-2.887666985714146e-19,-2.450427649097299e-19,-4.0892914823767255e-20,0.9856087760395315,0.7246536165702464,0.03904784642628545,76,108,,0.9856087760395315,False
ABIDE1_fd2,male,adult_18_plus,z_neg,2,1.752983723092352e-19,6.373502548774047e-19,6.866748647548483e-19,0.41529474106585845,0.6232798218305688,0.046421208939261716,76,108,,0.8328038630941523,False
ABIDE1_fd2,male,adult_18_plus,z_neg,3,-1.241696803857083e-18,1.5248433517228232e-18,2.2686445062484307e-18,0.2115002459700049,0.18194645140328078,0.08742849799057884,76,108,,0.8328038630941523,False
ABIDE1_fd2,male,adult_18_plus,z_neg,4,1.4303860240510515e-18,1.4991437446713147e-18,6.674745054479922e-19,0.7138318826521305,0.23832445835102556,0.06987648559002946,76,108,,0.8328038630941523,False
ABIDE1_fd2,male,adult_18_plus,z_neg,5,1.0074619098231913e-19,7.798501450112849e-19,6.468127444422662e-19,0.5190630676041188,0.9689733378586898,0.0220532998218973,76,108,,0.8328038630941523,False
ABIDE1_fd2,male,adult_18_plus,z_neg,6,4.528541284655245e-18,2.5479324705352468e-18,-1.3679535181109937e-18,0.6819195051506667,0.8734103021467867,0.031441368134956904,76,108,,0.8328038630941523,False
ABIDE1_fd2,male,adult_18_plus,z_neg,7,4.695492115425945e-19,1.4685489743719e-19,-2.5991903977994398e-19,0.5607528197321149,0.8962831989085709,0.03057741903831801,76,108,,0.8328038630941523,False
ABIDE1_fd2,male,adult_18_plus,z_pos,1,3.354789586344376e-18,-9.278753476155016e-18,-1.1090354719880951e-17,0.32530637368182924,0.46958283391402955,0.060295818512640764,76,108,,0.9195781758473195,False
ABIDE1_fd2,male,adult_18_plus,z_pos,2,-6.710184308785024e-18,2.381068593322239e-18,8.758096100705763e-18,0.510918703413732,0.26168436453841504,0.07029035827353458,76,108,,0.9195781758473195,False
ABIDE1_fd2,male,adult_18_plus,z_pos,3,2.105406492422377e-17,1.327813030994592e-18,-1.803357634802884e-17,0.08162357611270349,0.8244013625266874,0.05328042828688162,76,108,,0.5713650327889245,False
ABIDE1_fd2,male,adult_18_plus,z_pos,4,-5.333513844998867e-18,-4.938808599911591e-18,1.0203225711266756e-18,0.9195781758473195,0.10035267558498238,0.08680183781463968,76,108,,0.9195781758473195,False
ABIDE1_fd2,male,adult_18_plus,z_pos,5,-5.213615383335013e-18,-8.584998045223662e-19,5.777956859731157e-18,0.7058496870422374,0.44455830583246153,0.05543771544659504,76,108,,0.9195781758473195,False
ABIDE1_fd2,male,adult_18_plus,z_pos,6,6.498039366403346e-18,4.72597416815057e-18,-2.2516673286104125e-18,0.8075028103084004,0.7293337820044103,0.03898103559222699,76,108,,0.9195781758473195,False
ABIDE1_fd2,male,adult_18_plus,z_pos,7,-4.408545375038804e-18,4.635107700361327e-19,2.5934035482504133e-18,0.8287839830131698,0.781562536205429,0.03659065004897333,76,108,,0.9195781758473195,False
