stream,scenario,age_group,sex,metric,module,ados_col,model_key,iterate_all_modules,asd_only,require_ados_reliable,hit_in_dxonly_model,hit_in_dxsex_model,hit_in_any_original_model,n,pearson_r,pearson_p,spearman_rho,spearman_p,subject_csv,scatter_png,spearman_p_fdr_global,spearman_fdr_sig_global,spearman_p_fdr_by_scenario_sex,spearman_fdr_sig_by_scenario_sex,abs_spearman
stratified_ados,OVERALL_ageSexMatched_fd-0.3,teen_13_17,female,PC_neg,8,ADOS_TOTAL,m1,True,True,False,False,False,False,6,-0.4135077671374649,0.41509092158268124,-0.8406680016960504,0.036057572845159175,/work/ioannou_lab/elizabeth.szentmiklo/abide-sex-age-connectomics/results/qc/ados_correlations/stratified/OVERALL_ageSexMatched_fd-0.3/teen_13_17/female/PC_neg/module_8/subject_level_with_ados.csv,/work/ioannou_lab/elizabeth.szentmiklo/abide-sex-age-connectomics/results/qc/ados_correlations/stratified/OVERALL_ageSexMatched_fd-0.3/teen_13_17/female/PC_neg/module_8/scatter.png,0.8259424369896612,False,0.6394393060565119,False,0.8406680016960504
stratified_ados,OVERALL_ageSexMatched_fd-0.3,teen_13_17,female,Strength_pos,1,ADOS_TOTAL,m1,True,True,False,False,False,False,6,0.5453747335837063,0.26304428481245123,0.8406680016960504,0.036057572845159175,/work/ioannou_lab/elizabeth.szentmiklo/abide-sex-age-connectomics/results/qc/ados_correlations/stratified/OVERALL_ageSexMatched_fd-0.3/teen_13_17/female/Strength_pos/module_1/subject_level_with_ados.csv,/work/ioannou_lab/elizabeth.szentmiklo/abide-sex-age-connectomics/results/qc/ados_correlations/stratified/OVERALL_ageSexMatched_fd-0.3/teen_13_17/female/Strength_pos/module_1/scatter.png,0.8259424369896612,False,0.6394393060565119,False,0.8406680016960504
stratified_ados,OVERALL_ageSexMatched_fd-0.2,teen_13_17,female,Strength_pos,1,ADOS_TOTAL,m1,True,True,False,False,False,False,6,0.47184077158869786,0.34476267425176976,0.8406680016960504,0.036057572845159175,/work/ioannou_lab/elizabeth.szentmiklo/abide-sex-age-connectomics/results/qc/ados_correlations/stratified/OVERALL_ageSexMatched_fd-0.2/teen_13_17/female/Strength_pos/module_1/subject_level_with_ados.csv,/work/ioannou_lab/elizabeth.szentmiklo/abide-sex-age-connectomics/results/qc/ados_correlations/stratified/OVERALL_ageSexMatched_fd-0.2/teen_13_17/female/Strength_pos/module_1/scatter.png,0.8259424369896612,False,0.5665296995195769,False,0.8406680016960504
stratified_ados,OVERALL_ageSexMatched_fd-0.2,preteen_10_12,female,Strength_pos,2,ADOS_TOTAL,m1,True,True,False,False,False,False,7,-0.685933687139148,0.08886576535300986,-0.8365019125713041,0.018971259581891185,/work/ioannou_lab/elizabeth.szentmiklo/abide-sex-age-connectomics/results/qc/ados_correlations/stratified/OVERALL_ageSexMatched_fd-0.2/preteen_10_12/female/Strength_pos/module_2/subject_level_with_ados.csv,/work/ioannou_lab/elizabeth.szentmiklo/abide-sex-age-connectomics/results/qc/ados_correlations/stratified/OVERALL_ageSexMatched_fd-0.2/preteen_10_12/female/Strength_pos/module_2/scatter.png,0.8259424369896612,False,0.5665296995195769,False,0.8365019125713041
stratified_ados,OVERALL_ageSexMatched_fd-0.3,preteen_10_12,female,Z,8,ADOS_TOTAL,m1,True,True,False,False,False,False,8,-0.8498276394545502,0.007541670671364619,-0.8193365776101958,0.01281650190367177,/work/ioannou_lab/elizabeth.szentmiklo/abide-sex-age-connectomics/results/qc/ados_correlations/stratified/OVERALL_ageSexMatched_fd-0.3/preteen_10_12/female/Z/module_8/subject_level_with_ados.csv,/work/ioannou_lab/elizabeth.szentmiklo/abide-sex-age-connectomics/results/qc/ados_correlations/stratified/OVERALL_ageSexMatched_fd-0.3/preteen_10_12/female/Z/module_8/scatter.png,0.8259424369896612,False,0.615192091376245,False,0.8193365776101958
stratified_ados,OVERALL_ageSexMatched_fd-0.2,teen_13_17,female,Z_neg,5,ADOS_TOTAL,m1,True,True,False,False,False,False,6,0.7061730840180777,0.11681772065953194,0.7700513795421217,0.07323512813170646,/work/ioannou_lab/elizabeth.szentmiklo/abide-sex-age-connectomics/results/qc/ados_correlations/stratified/OVERALL_ageSexMatched_fd-0.2/teen_13_17/female/Z_neg/module_5/subject_level_with_ados.csv,/work/ioannou_lab/elizabeth.szentmiklo/abide-sex-age-connectomics/results/qc/ados_correlations/stratified/OVERALL_ageSexMatched_fd-0.2/teen_13_17/female/Z_neg/module_5/scatter.png,0.8259424369896612,False,0.5665296995195769,False,0.7700513795421217
stratified_ados,OVERALL_ageSexMatched_fd-0.2,adult_18_plus,female,Strength_pos,3,ADOS_TOTAL,m1,True,True,False,False,False,False,10,0.7144744091153181,0.020251632329761113,0.7696969696969697,0.009221952722215994,/work/ioannou_lab/elizabeth.szentmiklo/abide-sex-age-connectomics/results/qc/ados_correlations/stratified/OVERALL_ageSexMatched_fd-0.2/adult_18_plus/female/Strength_pos/module_3/subject_level_with_ados.csv,/work/ioannou_lab/elizabeth.szentmiklo/abide-sex-age-connectomics/results/qc/ados_correlations/stratified/OVERALL_ageSexMatched_fd-0.2/adult_18_plus/female/Strength_pos/module_3/scatter.png,0.8259424369896612,False,0.5665296995195769,False,0.7696969696969697
stratified_ados,OVERALL_ageSexMatched_fd-0.2,preteen_10_12,female,PC_neg,8,ADOS_TOTAL,m1,True,True,False,False,False,False,7,0.47886609041838335,0.2769612522837148,0.7637626158259735,0.04565912378141159,/work/ioannou_lab/elizabeth.szentmiklo/abide-sex-age-connectomics/results/qc/ados_correlations/stratified/OVERALL_ageSexMatched_fd-0.2/preteen_10_12/female/PC_neg/module_8/subject_level_with_ados.csv,/work/ioannou_lab/elizabeth.szentmiklo/abide-sex-age-connectomics/results/qc/ados_correlations/stratified/OVERALL_ageSexMatched_fd-0.2/preteen_10_12/female/PC_neg/module_8/scatter.png,0.8259424369896612,False,0.5665296995195769,False,0.7637626158259735
stratified_ados,OVERALL_ageSexMatched_fd-0.2,teen_13_17,female,Z_pos,4,ADOS_TOTAL,m1,True,True,False,False,False,False,6,0.8872633299223459,0.018347918615515588,0.753702346348183,0.08352328137325983,/work/ioannou_lab/elizabeth.szentmiklo/abide-sex-age-connectomics/results/qc/ados_correlations/stratified/OVERALL_ageSexMatched_fd-0.2/teen_13_17/female/Z_pos/module_4/subject_level_with_ados.csv,/work/ioannou_lab/elizabeth.szentmiklo/abide-sex-age-connectomics/results/qc/ados_correlations/stratified/OVERALL_ageSexMatched_fd-0.2/teen_13_17/female/Z_pos/module_4/scatter.png,0.8259424369896612,False,0.5665296995195769,False,0.753702346348183
stratified_ados,OVERALL_ageSexMatched_fd-0.2,teen_13_17,female,Z,1,ADOS_TOTAL,m1,True,True,False,False,False,False,6,-0.6656384001123422,0.14900609373191556,-0.753702346348183,0.08352328137325983,/work/ioannou_lab/elizabeth.szentmiklo/abide-sex-age-connectomics/results/qc/ados_correlations/stratified/OVERALL_ageSexMatched_fd-0.2/teen_13_17/female/Z/module_1/subject_level_with_ados.csv,/work/ioannou_lab/elizabeth.szentmiklo/abide-sex-age-connectomics/results/qc/ados_correlations/stratified/OVERALL_ageSexMatched_fd-0.2/teen_13_17/female/Z/module_1/scatter.png,0.8259424369896612,False,0.5665296995195769,False,0.753702346348183
